# Combined results from the directory /RESULTS/primary/QqN1/results/
# M1	M2	r
640	492	1.49283605997
640	372	2.68540837159
640	432	1.9612877598
640	312	3.7094146981
640	252	3.82870045352
640	192	5.37519787258
688	492	1.22152154793
688	432	1.92351213733
688	312	2.76969069024
688	372	2.60945229043
688	192	5.59618604447
688	252	4.18331701426
688	72	7.17870353647
688	132	6.69889525547
688	24	7.56578658366
640	132	6.98986177377
640	72	7.96074173132
640	12	8.52934547945
676	660	0.475754505865
676	600	1.05355056695
628	600	0.954839203359
676	540	1.19293074325
676	480	1.33386323355
676	420	2.01167041076
628	540	1.38898466938
676	360	2.81629188071
676	300	2.9203435019
676	180	5.94402741664
676	60	7.46049098784
676	120	7.03164684136
628	480	1.4634733743
676	240	4.41780855348
676	24	7.81203502066
628	420	2.03267048098
628	360	3.00222709713
628	240	4.095409955
628	300	4.18051630434
628	180	5.81569587939
628	60	8.32634769189
664	528	1.17267786869
664	648	0.503887690973
628	12	8.6719061625
628	120	7.45739245327
664	468	1.41304508564
664	408	1.92351063243
664	588	1.0827479458
664	348	3.18833453184
664	228	4.66628053673
664	288	3.11721790034
664	108	7.322678632
664	168	6.22702870914
664	48	8.00564643501
616	588	1.04232526462
616	528	1.63298469147
616	468	1.63977086128
616	48	8.83619954208
616	12	9.12761018915
616	408	2.1377338264
616	108	7.76093102488
616	348	3.03605636186
652	636	0.532068710806
688	504	1.00641510192
616	288	4.27822762835
616	168	6.10021856387
688	444	1.73905295466
616	228	4.18023779982
688	324	2.51929374589
688	384	2.35233422196
688	204	5.34583171136
688	264	3.89497456235
604	216	4.5520803477
688	84	7.26385143147
688	144	6.52095480294
604	276	4.66508557016
640	624	0.659373186166
688	36	7.69897031106
652	576	1.27399575643
652	516	1.29427591208
604	576	1.20643882227
676	672	0.517972834328
676	684	0.0
652	456	1.5090292969
460	456	2.28199239552
652	396	2.24709335331
604	396	2.4239535071
460	468	0.0
640	564	1.3574044237
604	156	6.39102222183
652	336	3.31955916527
652	276	3.31883096303
652	156	6.48692152135
604	96	8.09707895378
652	216	4.91177412653
604	336	3.48052118193
604	516	1.66692329596
652	96	7.59521449345
652	36	8.40692336501
604	36	8.97881767499
640	504	1.31907106898
604	456	1.73256001907
640	444	1.72649203247
676	612	0.988470099857
640	384	2.55462373042
640	264	3.48666669983
640	324	3.50170001831
676	552	1.16143103543
640	204	5.16353301955
676	492	1.34635914424
676	432	1.89414358815
676	372	2.35654650374
676	312	2.66520352121
676	192	5.5822775358
676	72	7.69587575977
676	132	6.8319855344
676	252	3.99364159899
640	144	6.75151907886
664	660	0.509520138508
664	672	0.0
640	84	7.84456969719
640	24	8.6052788386
664	540	1.16367917211
664	480	1.38386060359
664	600	0.963804279392
664	420	1.95708576255
664	360	2.66852114322
664	240	4.31288799103
664	300	2.82963266647
688	516	1.00192818376
664	120	7.18953458304
664	180	5.90536494183
688	456	1.47562803343
628	612	0.670722357233
664	60	7.73458543517
688	396	2.34391181802
688	336	2.2139368853
688	276	3.51130363867
688	216	4.94420060619
688	96	7.20656946024
688	156	6.11258275645
628	552	1.35063667373
628	492	1.49283415008
628	432	1.79351502478
652	648	0.54617522652
652	660	0.0
628	372	2.83318687243
676	624	0.849617978335
628	252	3.62991385343
628	312	3.82393364001
628	24	8.68895362756
628	72	8.18225914935
628	132	7.08891885691
628	192	5.43236589475
640	636	0.639522958406
640	648	0.0
652	588	1.098477822
676	564	1.16143103543
460	396	4.12459329676
652	528	1.38898532511
676	504	1.15921204638
616	600	0.755999039892
676	444	1.71811560541
652	468	1.33386356764
640	576	1.25597454508
676	384	2.36075802789
652	408	2.17557717045
676	324	2.45174411052
676	204	5.19905832862
652	348	2.88810974546
676	84	7.38926462352
652	288	3.0464557511
676	264	3.6884613747
676	144	6.54880683764
652	228	4.48724955314
652	168	6.11877277223
652	108	7.50849549982
652	48	8.18691081168
640	516	1.34387293712
640	456	1.44089633226
616	540	1.47476660887
640	396	2.63055037993
616	480	1.5267249792
640	276	3.1849281741
460	336	4.17491984367
640	336	3.32379602522
640	216	4.7836192019
616	420	1.86478466893
616	360	3.07834654021
616	60	8.41002818241
616	120	7.43572315141
616	300	4.13804921886
616	24	9.0826552614
664	552	1.14343662087
616	180	5.79715040112
664	612	0.916751448594
616	240	3.96589364487
664	492	1.17492773333
460	276	4.69056233679
664	432	1.87316861718
664	372	2.93459027566
604	288	4.38447193282
604	228	4.16019639989
664	252	4.01213893394
664	312	2.5638236643
664	132	6.79638284455
664	192	5.55135946574
664	72	7.87243264495
460	216	6.98026002498
604	588	0.81298507935
460	156	9.20496271283
640	156	6.51477545462
640	96	7.68194545074
640	36	8.38988575712
604	528	1.61263218909
604	408	2.07889235587
604	348	3.14603556688
604	468	1.81409036948
604	108	7.58904160951
604	168	5.9811568367
628	624	0.701960165131
628	636	0.0
604	48	8.6719348496
400	372	5.28343756255
652	600	1.03558984975
652	540	1.28300849232
628	564	1.2694891929
652	480	1.31230720091
628	504	1.43412191702
652	420	1.94869371173
640	588	1.12994762787
652	360	2.85430994287
628	444	1.65533187188
652	300	2.85730729657
652	240	4.30209503731
652	180	5.83734339506
652	120	7.29636859244
652	60	8.18381227701
628	384	2.52931973219
640	528	1.42735168233
628	84	8.27986598443
628	36	8.56342659567
628	264	3.34192137563
628	324	3.61189073015
628	144	6.77008074586
640	468	1.33034369654
628	204	5.1805191734
640	408	2.18399048477
640	348	3.28145774378
640	288	2.90343296708
640	228	4.66011630273
616	612	0.741768918978
616	624	0.0
616	552	1.44766925314
616	492	1.65334446032
616	432	1.63072272878
616	372	2.61367438089
616	72	8.04593976613
616	312	3.97670801889
640	168	6.01052531367
616	132	7.15084769044
616	192	5.16662199062
640	108	7.52863225378
640	48	8.25973492962
616	252	3.59294523086
604	300	4.19752051234
604	240	3.77476641886
604	600	0.918649095567
604	612	0.0
400	312	6.01975392725
604	540	1.54254721163
628	576	1.19068001174
604	480	1.80276350267
628	516	1.54480215782
604	420	2.01587641698
604	360	3.14603556688
628	456	1.42734985621
628	396	2.35654598148
604	120	7.18801699735
604	180	5.75387569909
628	276	4.81396486351
628	96	7.78570298603
628	336	3.366137769
628	156	6.52405017305
604	60	8.76182382581
628	216	4.65393583192
616	564	1.31907091673
616	504	1.63072272878
400	252	5.94631725207
616	84	8.3139621053
616	144	6.87842174184
616	444	1.68462692205
616	384	2.60945573177
616	324	3.92577587569
616	264	3.261879017
616	204	4.93030853762
400	192	8.45996782238
472	420	3.89591647073
604	312	3.82394628978
604	252	5.17580952068
604	552	1.56288954576
604	492	1.72803216024
472	360	4.09943708061
604	432	1.75293750999
604	372	2.60946132672
604	132	7.00071092496
604	192	5.3118575032
472	300	4.01024153172
604	72	8.51386660216
472	240	6.04103199647
472	60	11.7563617451
472	180	8.32297070433
472	120	10.8252706307
796	636	0.507067507211
796	576	0.762648444776
796	516	1.10527352897
796	336	2.66059244734
796	456	1.06069443246
796	276	3.48357998917
796	396	1.82485331973
796	156	4.50730662466
796	216	4.05223018905
796	96	4.90559194951
796	36	5.08628850301
784	564	0.832552183924
784	504	1.10114778688
784	684	0.551313778012
784	324	2.97268107605
784	444	1.14430887874
784	384	1.99635084536
784	264	3.56065724488
784	84	5.08175020614
784	624	0.573466461236
784	24	5.33356844579
784	144	4.97363420535
784	204	4.41171579933
772	672	0.569032609709
772	12	5.60554718601
772	612	0.604513912032
772	552	0.791417399581
772	492	1.32555421366
772	432	1.28433292106
772	372	2.09286723704
772	132	5.37372861621
772	312	3.1095760297
772	252	4.1186056217
772	72	5.45717557519
772	192	4.72501914866
760	660	0.673389810064
760	600	0.729060859502
760	540	0.910842595253
760	480	1.44224694105
760	420	1.40930175294
760	360	2.36426786445
760	300	3.3942752078
760	240	4.24193944531
760	180	5.01525305567
760	60	5.99042717301
760	0	5.92702944058
760	120	5.39683519573
748	648	0.686743795411
748	588	0.700101625739
748	528	1.0307035522
748	468	1.52156548108
748	408	1.44744195263
748	348	2.45943133448
748	288	3.60836434192
748	168	5.37830876612
748	108	5.88375396643
748	228	4.53974157268
748	48	6.20695888263
736	696	0.553518401468
724	384	1.65358473607
724	444	1.70136976462
736	636	0.660043148034
736	36	6.43586934125
736	96	6.12960037236
736	216	4.82684819778
736	156	5.70748442124
736	576	0.780360680707
736	516	1.20905454817
736	396	1.63371853952
736	456	1.67625570871
736	336	2.50854809473
736	276	3.66072966702
724	684	0.569024276723
724	264	4.09078679084
724	324	2.76200898011
724	204	5.11100976888
724	624	0.854090827793
724	564	0.82949875413
724	504	1.26310416847
796	648	0.524750414541
700	540	1.05130821866
700	480	1.35886162275
700	420	1.86898224852
700	360	2.80362943577
796	588	0.68475934537
796	528	1.04725883178
796	468	1.37135752954
796	348	2.5008679081
796	168	4.53354244276
796	228	3.86414394908
796	408	1.62607630305
796	288	3.25879488915
796	48	5.03686259603
796	108	4.80368159164
784	576	0.692959233082
784	516	1.08871052566
784	696	0.524760279051
784	456	1.11998075937
784	336	2.78664791369
784	396	1.84018953273
784	96	5.07093786297
784	276	3.59608741464
784	636	0.602296483771
784	36	5.20687620525
784	156	4.98753390136
784	216	4.33302674671
772	684	0.580114842416
772	24	5.62254981528
772	624	0.604513912032
